StudentID,Age,Gender,County,Program,ProgramType,LearningMode,EducationLevel,EmploymentStatus,PaymentPlan,DeviceType,InternetQuality,PreviousCodingExperienceYears,WeeklyStudyHours,AttendanceRatePercent,AssignmentsSubmitted,AssignmentsLate,AverageQuizScore,AverageProjectScore,ForumPosts,MentorSessionsAttended,GitHubCommits,ProjectsCompleted,PreferredProgrammingLanguage,CareerGoal,AdmissionSource,ProjectCategory,MonthlyFeePaidKES,OutstandingBalanceKES,ScholarshipPercent,DaysSinceLastLogin,LoginFrequencyPerWeek,VideoLessonsWatched,LabCompletionRatePercent,PeerCollaborationScore,CommunicationScore,ProblemSolvingScore,ConfidenceLevel1To10,EngagementLevel,AttendanceStatus,DropoutRiskLevel,FinalClusterHint
STU-0001,17,Female,Kisumu,Data Science,Certificate,Online,High School,Student,Installments,Laptop,Poor,1.7,9,51,7,3,34,48,21,1,17,0,Kotlin,Academic research,Referral,Data Dashboard,5607,24393,50,12,3,16,51,2,6,5,10,Medium,Irregular,High,Struggling Learner
STU-0002,34,Female,Kakamega,Data Science,Certificate,Physical,Degree,Employed,Sponsored,Laptop,Average,3.4,12,72,12,3,82,73,42,4,78,4,C++,Academic research,TikTok,Blockchain App,25613,41887,10,7,8,94,64,10,3,7,3,Medium,Moderate,Medium,Practical Builder
STU-0003,41,Male,Kisumu,Full Stack JavaScript,Bootcamp,Hybrid,Degree,Unemployed,Installments,Laptop,Excellent,2.4,10,74,16,1,49,53,8,8,13,2,Kotlin,Upskill current job,School Visit,Data Dashboard,70950,37050,10,11,6,68,56,1,2,5,3,Medium,Moderate,Medium,Casual Learner
STU-0004,25,Male,Kakamega,UI/UX Design,Certificate,Hybrid,Degree,Self-employed,Full Payment,Laptop,Average,0.6,22,76,15,1,82,61,34,12,79,1,Java,Build startup,Referral,Mobile App,26907,3093,0,5,8,72,58,10,6,9,1,Medium,Moderate,Low,Career Switcher
STU-0005,19,Male,Kisii,Blockchain Development,Bootcamp,Physical,High School,Employed,Full Payment,Laptop,Good,1.2,4,59,8,3,32,39,14,1,25,2,C++,Get a tech job,TikTok,Web App,9465,35535,0,27,2,48,39,10,9,3,10,Medium,Moderate,High,Struggling Learner
STU-0006,27,Male,Meru,Software Engineering,Diploma,Online,Postgraduate,Employed,Installments,Desktop,Excellent,4.3,4,55,16,3,46,32,3,10,6,0,Kotlin,Build startup,Google Search,Mobile App,14025,30975,0,28,3,88,36,1,7,4,2,Medium,Moderate,High,Struggling Learner
STU-0007,31,Male,Kiambu,Mobile App Development,Certificate,Physical,High School,Student,Installments,Laptop,Poor,3.5,23,80,14,2,70,76,29,4,140,5,Dart,Get a tech job,WhatsApp,AI Model,28903,16097,0,0,5,59,85,8,3,7,5,High,Consistent,Low,Practical Builder
STU-0008,18,Female,Meru,Software Engineering,Diploma,Hybrid,Diploma,Student,Partial Scholarship,Laptop,Average,2.8,14,60,15,2,65,48,13,10,41,2,Java,Get a tech job,Referral,Data Dashboard,34019,49981,30,4,5,96,54,4,5,7,3,Low,Moderate,Medium,Casual Learner
STU-0009,35,Male,Kiambu,Blockchain Development,Bootcamp,Physical,Degree,Employed,Partial Scholarship,Smartphone,Excellent,0.9,19,79,20,0,83,50,35,2,85,3,Dart,Upskill current job,Instagram,Design Prototype,73497,10503,30,2,3,39,63,10,4,7,4,High,Moderate,Low,Career Switcher
STU-0010,19,Female,Nakuru,Software Engineering,Diploma,Online,Degree,Employed,Installments,Laptop,Good,2.1,7,60,9,6,20,27,8,0,4,2,Dart,Upskill current job,School Visit,Blockchain App,54075,65925,0,11,4,44,45,1,6,2,4,Low,Moderate,High,Struggling Learner
